ID;Club;Nation;Tier
1;Arsenal;England;1
2;Chelsea ;England;1
3;Barcelone;Spain;1
4;Real Madrid;Spain;1
5;PSG;France;1
6;Bayern;Germany;1
7;Manchester City;England;1
8;Liverpool;England;1
9;AC Milan;Italy;1
10;Juventus;Italy;1
11;Napoli;Italy;2
12;Inter Milan;Italy;2
13;Atletico Madrid;Spain;2
14;Tottenham;England;2
15;Marseille;France;2
16;Dortmund;Germany;2
17;Roma;Italy;2
18;Lyon;France;2
19;Frankfurt;Germany;2
20;Lazio;Italy;2
21;Bologna;Italy;3
22;Fiorentina;Italy;3
23;Wolfsburg;Germany;3
24;Leipzig;Germany;3
25;Leverkusen;Germany;3
26;Rennes;France;3
27;Monaco;France;3
28;Lille ;France;3
29;Aston Villa;England;3
30;Wolvs ;England;3
31;Brentford;England;4
32;Verona;Italy;4
33;Sampdoria;Italy;4
34;Fullham;England;4
35;Augsburg;Germany;4
36;Schalke 04 ;Germany;4
37;Nantes ;France;4
38;FC Copenhagen;Denmark;4
39;Ajax;Holland;4
40;PSV Eindhoven;Holland;4
41;Randers FC;Denmark;5
42;FC Midtjylland;Denmark;5
43;AGF;Denmark;5
44;AC Horsens ;Denmark;5
45;FC Nordsjaeland;Denmark;5
46;Viborg;Denmark;5
47;Silkeborg;Denmark;5
48;OB;Denmark;5
49;Lyngby;Denmark;5
50;Aab;Denmark;5
